pins,mask,primary,tags,name
1,1,single_pin,single_pin,1 Pin
2,2,single_pin,single_pin,2 Pin
1-2,3,washout,washout,
3,4,single_pin,single_pin,3 Pin
1-3,5,washout,washout,
2-3,6,split,split,
1-2-3,7,washout,washout,
4,8,single_pin,single_pin,4 Pin
1-4,9,washout,washout,
2-4,10,other,other,
1-2-4,11,washout,washout,
3-4,12,big_split,big_split+split,
1-3-4,13,washout,washout,
2-3-4,14,split,split,
1-2-3-4,15,washout,washout,
5,16,single_pin,single_pin,5 Pin
1-5,17,sleeper,sleeper,Sleeper
2-5,18,other,other,
1-2-5,19,washout,washout,
3-5,20,other,other,
1-3-5,21,washout,washout,
2-3-5,22,split,split,
1-2-3-5,23,washout,washout,
4-5,24,split,split,
1-4-5,25,washout,washout,
2-4-5,26,cluster,cluster,
1-2-4-5,27,washout,washout,
3-4-5,28,split,split,
1-3-4-5,29,washout,washout,
2-3-4-5,30,split,split,
1-2-3-4-5,31,washout,washout,
6,32,single_pin,single_pin,6 Pin
1-6,33,washout,washout,
2-6,34,big_split,big_split+split,
1-2-6,35,washout,washout,
3-6,36,other,other,
1-3-6,37,washout,washout,
2-3-6,38,split,split,
1-2-3-6,39,washout,washout,
4-6,40,big_split,big_split+split,
1-4-6,41,washout,washout,
2-4-6,42,big_split,big_split+split,
1-2-4-6,43,washout,washout,
3-4-6,44,big_split,big_split+split,
1-3-4-6,45,washout,washout,
2-3-4-6,46,split,split,
1-2-3-4-6,47,washout,washout,
5-6,48,split,split,
1-5-6,49,washout,washout,
2-5-6,50,split,split,
1-2-5-6,51,washout,washout,
3-5-6,52,cluster,cluster,
1-3-5-6,53,washout,washout,
2-3-5-6,54,split,split,
1-2-3-5-6,55,washout,washout,
4-5-6,56,split,split,
1-4-5-6,57,washout,washout,
2-4-5-6,58,split,split,
1-2-4-5-6,59,washout,washout,
3-4-5-6,60,split,split,
1-3-4-5-6,61,washout,washout,
2-3-4-5-6,62,split,split,
1-2-3-4-5-6,63,washout,washout,
7,64,corner_pin,corner_pin+single_pin,7 Pin
1-7,65,washout,washout,
2-7,66,baby_split,baby_split+split,Baby Split
1-2-7,67,washout,washout,
3-7,68,big_split,big_split+split,
1-3-7,69,washout,washout,
2-3-7,70,big_split,big_split+split,
1-2-3-7,71,washout,washout,
4-7,72,other,other,
1-4-7,73,washout,washout,
2-4-7,74,cluster,cluster,
1-2-4-7,75,washout,washout,Picket Fence
3-4-7,76,big_split,big_split+split,
1-3-4-7,77,washout,washout,
2-3-4-7,78,split,split,
1-2-3-4-7,79,washout,washout,
5-7,80,big_split,big_split+split,
1-5-7,81,washout,washout,
2-5-7,82,big_split,big_split+split,
1-2-5-7,83,washout,washout,
3-5-7,84,big_split,big_split+split,
1-3-5-7,85,washout,washout,
2-3-5-7,86,big_split,big_split+split,
1-2-3-5-7,87,washout,washout,
4-5-7,88,split,split,
1-4-5-7,89,washout,washout,
2-4-5-7,90,split,split,
1-2-4-5-7,91,washout,washout,
3-4-5-7,92,split,split,
1-3-4-5-7,93,washout,washout,
2-3-4-5-7,94,split,split,
1-2-3-4-5-7,95,washout,washout,
6-7,96,big_split,big_split+split,
1-6-7,97,washout,washout,
2-6-7,98,big_split,big_split+split,
1-2-6-7,99,washout,washout,
3-6-7,100,big_split,big_split+split,
1-3-6-7,101,washout,washout,
2-3-6-7,102,big_split,big_split+split,
1-2-3-6-7,103,washout,washout,
4-6-7,104,big_split,big_split+split,
1-4-6-7,105,washout,washout,
2-4-6-7,106,big_split,big_split+split,
1-2-4-6-7,107,washout,washout,
3-4-6-7,108,big_split,big_split+split,
1-3-4-6-7,109,washout,washout,
2-3-4-6-7,110,split,split,
1-2-3-4-6-7,111,washout,washout,
5-6-7,112,big_split,big_split+split,
1-5-6-7,113,washout,washout,
2-5-6-7,114,big_split,big_split+split,
1-2-5-6-7,115,washout,washout,
3-5-6-7,116,big_split,big_split+split,
1-3-5-6-7,117,washout,washout,
2-3-5-6-7,118,big_split,big_split+split,
1-2-3-5-6-7,119,washout,washout,
4-5-6-7,120,split,split,
1-4-5-6-7,121,washout,washout,
2-4-5-6-7,122,split,split,
1-2-4-5-6-7,123,washout,washout,
3-4-5-6-7,124,split,split,
1-3-4-5-6-7,125,washout,washout,
2-3-4-5-6-7,126,split,split,
1-2-3-4-5-6-7,127,washout,washout,
8,128,single_pin,single_pin,8 Pin
1-8,129,washout,washout,
2-8,130,sleeper,sleeper,Sleeper
1-2-8,131,washout,washout,
3-8,132,big_split,big_split+split,
1-3-8,133,washout,washout,
2-3-8,134,big_split,big_split+split,
1-2-3-8,135,washout,washout,
4-8,136,other,other,
1-4-8,137,washout,washout,
2-4-8,138,cluster,cluster,
1-2-4-8,139,washout,washout,
3-4-8,140,big_split,big_split+split,
1-3-4-8,141,washout,washout,
2-3-4-8,142,split,split,
1-2-3-4-8,143,washout,washout,
5-8,144,other,other,
1-5-8,145,washout,washout,
2-5-8,146,cluster,cluster,
1-2-5-8,147,washout,washout,
3-5-8,148,cluster,cluster,
1-3-5-8,149,washout,washout,
2-3-5-8,150,split,split,
1-2-3-5-8,151,washout,washout,
4-5-8,152,split,split,
1-4-5-8,153,washout,washout,
2-4-5-8,154,bucket,bucket,Bucket
1-2-4-5-8,155,washout,washout,
3-4-5-8,156,split,split,
1-3-4-5-8,157,washout,washout,
2-3-4-5-8,158,split,split,
1-2-3-4-5-8,159,washout,washout,
6-8,160,big_split,big_split+split,
1-6-8,161,washout,washout,
2-6-8,162,big_split,big_split+split,
1-2-6-8,163,washout,washout,
